,area_type,total_sqft,bath,price,location,bhk
5186,Plot  Area,850,6,78,Kharadi,6
5187,Built-up  Area,3044,3,183,Kharadi,3
5188,Built-up  Area,3600,5,110,Kharadi,5
5189,Super built-up  Area,992,2,60,Kharadi,2
5190,Super built-up  Area,1025,2,90,Kharadi,2
5191,Plot  Area,1200,1,103,Kharadi,2
5192,Built-up  Area,1300,2,75,Kharadi,3
5193,Super built-up  Area,1210,2,80,Kharadi,2
5194,Built-up  Area,375,1,26,Kharadi,1
5195,Built-up  Area,2400,5,180,Kharadi,4
5196,Super built-up  Area,1520,2,61,Kharadi,3
5197,Super built-up  Area,1259,2,67.48,Kharadi,2
5198,Super built-up  Area,1160,2,70,Kharadi,2
5199,Super built-up  Area,1350,3,66,Kharadi,3
5200,Super built-up  Area,1689,3,103,Kharadi,3
5201,Super built-up  Area,1567,3,100,Kharadi,3
5202,Super built-up  Area,1256,2,65,Kharadi,2
5203,Super built-up  Area,1464,2,135,Kharadi,3
5204,Super built-up  Area,1265,2,53.12,Kharadi,3
5205,Built-up  Area,1020,2,45,Kharadi,2
5206,Super built-up  Area,1260,2,71.195,Kharadi,2
5207,Super built-up  Area,1610,3,68,Kharadi,3
5208,Super built-up  Area,1213,2,36.37,Kharadi,3
5209,Super built-up  Area,1224,2,67,Kharadi,2
5210,Plot  Area,2000,3,90,Kharadi,4
5211,Super built-up  Area,1450,3,79,Kharadi,3
5212,Super built-up  Area,1265,2,72,Kharadi,2
5213,Super built-up  Area,1595,3,105,Kharadi,3
5214,Super built-up  Area,1522,3,90,Kharadi,3
5215,Super built-up  Area,1175,2,41.13,Kharadi,2
5216,Built-up  Area,1220,2,56,Kharadi,2
5217,Super built-up  Area,3418,3,235,Kharadi,4
5218,Super built-up  Area,1162,2,69,Kharadi,2
5219,Super built-up  Area,650,1,35,Kharadi,1
5220,Carpet  Area,1230,2,80,Kharadi,2
5221,Super built-up  Area,1515,2,135,Kharadi,3
5222,Super built-up  Area,1200,2,42,Kharadi,3
5223,Built-up  Area,1011,2,59,Kharadi,2
5224,Super built-up  Area,1250,2,50,Kharadi,3
5225,Super built-up  Area,1100,2,38.68,Kharadi,2
5226,Super built-up  Area,1236,2,58,Kharadi,2
5227,Plot  Area,1200,2,46.13,Kharadi,2
5228,Built-up  Area,1650,3,100,Kharadi,3
5229,Super built-up  Area,1305,2,77,Kharadi,3
5230,Super built-up  Area,1800,3,95,Kharadi,3
5231,Built-up  Area,1010,2,57,Kharadi,2
5232,Super built-up  Area,1196,2,56.81,Kharadi,2
5233,Super built-up  Area,1430,3,61,Kharadi,3
5234,Plot  Area,3000,4,240,Kharadi,3
5235,Super built-up  Area,1705,2,86.96,Kharadi,3
5236,Super built-up  Area,1916,2,150,Kharadi,3
5237,Super built-up  Area,1246,2,65,Kharadi,2
5238,Built-up  Area,1694,3,125,Kharadi,3
5239,Super built-up  Area,1115,2,50,Kharadi,2
5240,Super built-up  Area,1330,2,56,Kharadi,2
5241,Super built-up  Area,1440,2,63.93,Kharadi,3
5242,Super built-up  Area,1330.74,2,91.79,Kondhwa,2
5243,Built-up  Area,5000,8,250,Kondhwa,8
5244,Super built-up  Area,1080,2,39,Kondhwa,2
5245,Plot  Area,2650,4,198,Kondhwa,4
5246,Super built-up  Area,1069,2,55,Kondhwa,2
5247,Super built-up  Area,5230,6,465,Kondhwa,4
5248,Super built-up  Area,1920,3,134,Kondhwa,3
5249,Super built-up  Area,1470,2,82,Kondhwa,3
5250,Super built-up  Area,1246,2,67.3,Kondhwa,2
5251,Super built-up  Area,1548,3,89.5,Kondhwa,3
5252,Plot  Area,750,1,56.25,Kondhwa,1
5253,Super built-up  Area,1510,2,105,Kondhwa,3
5254,Super built-up  Area,1009,2,38.34,Kondhwa,2
5255,Carpet  Area,687.325,2,42.72,Kondhwa,2
5256,Plot  Area,1200,4,72,Kondhwa,4
5257,Super built-up  Area,1585,3,88,Kondhwa,3
5258,Super built-up  Area,1722,3,95,Kondhwa,3
5259,Super built-up  Area,925,2,40,Kondhwa,2
5260,Super built-up  Area,1358,3,50,Kondhwa,3
5261,Super built-up  Area,1100,2,53.35,Kondhwa,2
5262,Built-up  Area,1400,3,115,Kondhwa,3
5263,Super built-up  Area,935,2,45,Kondhwa,2
5264,Plot  Area,1200,2,58.5,Kondhwa,2
5265,Built-up  Area,1075,2,36,Kondhwa,3
5266,Built-up  Area,1405,2,77,Kondhwa,3
5267,Super built-up  Area,1550,2,75,Kondhwa,3
5268,Plot  Area,1200,2,65,Kondhwa,3
5269,Built-up  Area,912,2,55,Kondhwa,2
5270,Super built-up  Area,1040,2,46,Kondhwa,2
5271,Built-up  Area,1662,3,85,Kondhwa,3
5272,Built-up  Area,1200,3,66,Kondhwa,3
5273,Super built-up  Area,1350,2,68,Kondhwa,3
5274,Super built-up  Area,1427,2,48.51,Kondhwa,3
5275,Super built-up  Area,1800,3,70,Kondhwa,3
5276,Super built-up  Area,1310,2,85,Kondhwa,3
5277,Built-up  Area,1453,2,43.59,Kondhwa,3
5278,Super built-up  Area,1170,2,46.8,Kondhwa,2
5279,Super built-up  Area,1839,3,165,Kondhwa,3
5280,Super built-up  Area,1125,2,44,Kondhwa,2
5281,Super built-up  Area,1570,3,140,Kondhwa,3
5282,Plot  Area,3295,4,260,Kondhwa,5
5283,Super built-up  Area,1515,2,79,Kondhwa,3
5284,Super built-up  Area,1466,2,140,Kondhwa,3
5285,Super built-up  Area,705,1,52.5,Kondhwa,1
5286,Built-up  Area,1395,2,72,Kondhwa,3
5287,Super built-up  Area,661,1,36,Kondhwa,1
5288,Super built-up  Area,4500,7,294,Kondhwa,5
5289,Plot  Area,1200,2,63,Kondhwa,2
5290,Super built-up  Area,1210,2,74,Kondhwa,2
5291,Super built-up  Area,1005,2,39.77,Kondhwa,2
5292,Super built-up  Area,981,2,37.28,Kondhwa,2
5293,Super built-up  Area,975,2,45,Kondhwa,3
5294,Carpet  Area,1554.3,4,131,Kondhwa,4
5295,Super built-up  Area,1430,2,69.5,Kondhwa,3
5296,Super built-up  Area,1100,2,60,Kondhwa,2
5297,Super built-up  Area,1751,3,72,Kondhwa,3
5298,Super built-up  Area,1100,2,110,Kondhwa,2
5299,Super built-up  Area,1250,3,38,Kondhwa,3
5300,Super built-up  Area,1079,2,60,Kondhwa,2
5301,Super built-up  Area,750,2,33,Kondhwa,2
5302,Super built-up  Area,1490,3,79,Kondhwa,3
5303,Super built-up  Area,1096,2,40.55,Kondhwa,2
5304,Built-up  Area,1080,2,44.8,Kondhwa,2
5305,Super built-up  Area,1593,3,118,Kondhwa,3
5306,Super built-up  Area,1163,2,68,Kondhwa,2
5307,Super built-up  Area,1409,2,62,Kondhwa,3
5308,Super built-up  Area,883,2,37,Kondhwa,2
5309,Super built-up  Area,2000,3,165,Kondhwa,3
5310,Super built-up  Area,1590,3,58,Kondhwa,3
5311,Super built-up  Area,1600,3,83,Kondhwa,3
5312,Super built-up  Area,1007,2,66,Kondhwa,2
5313,Super built-up  Area,1255,2,95,Kondhwa,3
5314,Super built-up  Area,1760,3,142,Kondhwa,3
5315,Super built-up  Area,1000,2,34,Kondhwa,2
5316,Super built-up  Area,3602,4,280,Kondhwa,4
5317,Super built-up  Area,1075,2,31,Kondhwa,3
5318,Super built-up  Area,1695,3,50,Kondhwa,3
5319,Super built-up  Area,1047,2,89,Kondhwa,2
5320,Built-up  Area,2600,4,115,Kondhwa,4
5321,Built-up  Area,1365,3,80,Kondhwa,3
5322,Built-up  Area,2704,5,105,Kondhwa,4
5323,Built-up  Area,1640,3,120,Kondhwa,3
5324,Super built-up  Area,750,2,27,Kondhwa,2
5325,Super built-up  Area,1580,3,125,Kondhwa,3
5326,Plot  Area,2200,4,130,Kondhwa,4
5327,Super built-up  Area,1240,2,42.04,Kondhwa,2
5328,Super built-up  Area,1235,2,52.76,Kondhwa,2
5329,Super built-up  Area,1100,3,58,Kondhwa,3
5330,Plot  Area,1232,3,96,Kondhwa,3
5331,Super built-up  Area,1200,2,38.4,Kondhwa,3
5332,Super built-up  Area,1480,3,100,Kondhwa,3
5333,Super built-up  Area,2087,4,139,Kondhwa,3
5334,Built-up  Area,1073,2,72,Kondhwa,2
5335,Plot  Area,1500,2,85,Kondhwa,1
5336,Super built-up  Area,1750,3,120,Kondhwa,3
5337,Super built-up  Area,1262,2,65,Kondhwa,3
5338,Super built-up  Area,420,1,25,Kondhwa,2
5339,Super built-up  Area,1350,3,47.25,Kondhwa,3
5340,Super built-up  Area,1167,2,63,Kondhwa,2
5341,Super built-up  Area,660,1,23,Kondhwa,2
5342,Super built-up  Area,1333,3,50,Kondhwa,3
5343,Super built-up  Area,1300,3,55,Kondhwa,3
5344,Super built-up  Area,1010,2,38,Kondhwa,2
5345,Super built-up  Area,1450,2,102,Kondhwa,3
5346,Built-up  Area,1200,2,35,Kondhwa,4
5347,Super built-up  Area,1003.5,2,28.095,Kondhwa,2
5348,Built-up  Area,1350,2,39,Kondhwa,3
5349,Super built-up  Area,1530,2,89,Kondhwa,3
5350,Plot  Area,1200,2,52,Kondhwa,3
5351,Super built-up  Area,1670,3,59,Kondhwa,3
5352,Super built-up  Area,1125,2,65,Kondhwa,2
5353,Super built-up  Area,1175,2,83,Kondhwa,2
5354,Super built-up  Area,1273,2,60,Kondhwa,2
5355,Super built-up  Area,1194,2,47,Kondhwa,2
5356,Super built-up  Area,1500,2,70,Kondhwa,3
5357,Super built-up  Area,995,2,48,Kondhwa,2
5358,Super built-up  Area,1255,2,55.5,Kondhwa,2
5359,Built-up  Area,1055,2,75,Kondhwa,2
5360,Super built-up  Area,825,2,30,Kondhwa,2
5361,Plot  Area,754,2,69.99,Kondhwa,2
5362,Built-up  Area,957,2,56,Kondhwa,2
5363,Super built-up  Area,1025,2,43.04,Kondhwa,2
5364,Super built-up  Area,2425,5,195,Kondhwa,4
5365,Super built-up  Area,3050,5,213,Kondhwa Budruk,5
5366,Super built-up  Area,1933,3,129,Kondhwa Budruk,3
5367,Super built-up  Area,1192,2,74,Kondhwa Budruk,2
5368,Super built-up  Area,1933,3,140,Kondhwa Budruk,3
5369,Super built-up  Area,1155,2,42.74,Kondhwa Budruk,2
5370,Built-up  Area,1374,2,95,Kondhwa Budruk,2
5371,Super built-up  Area,1160,2,40.61,Kondhwa Budruk,2
5372,Super built-up  Area,1141,2,42.79,Kondhwa Budruk,2
5373,Built-up  Area,2238,3,140,Kondhwa Budruk,3
5374,Super built-up  Area,1611,3,66,Kondhwa Budruk,3
5375,Super built-up  Area,1260,2,60,Kondhwa Budruk,3
5376,Super built-up  Area,950,2,65,Kondhwa Budruk,2
5377,Super built-up  Area,1726,3,81.99,Kondhwa Budruk,3
5378,Built-up  Area,2700,5,158,Kondhwa Budruk,5
5379,Super built-up  Area,1050,2,45,Kondhwa Budruk,2
5380,Built-up  Area,845,2,33,Kondhwa Budruk,2
5381,Super built-up  Area,1370,2,56.17,Kondhwa Budruk,2
5382,Super built-up  Area,2800,3,330,Kondhwa Budruk,3
5383,Built-up  Area,1800,3,220,Kondhwa Budruk,4
5384,Super built-up  Area,1331,2,107,Kondhwa Budruk,2
5385,Plot  Area,1350,1,100,Kondhwa Budruk,2
5386,Super built-up  Area,1270,2,50.79,Kondhwa Budruk,3
5387,Built-up  Area,877,2,30,Kondhwa Budruk,2
5388,Super built-up  Area,970,2,27,Kondhwa Budruk,2
5389,Super built-up  Area,1216,2,79,Kondhwa Budruk,2
5390,Super built-up  Area,1142,2,51,Kondhwa Budruk,2
5391,Super built-up  Area,1418,2,101,Kondhwa Budruk,2
5392,Built-up  Area,3161,4,214,Kondhwa Budruk,4
5393,Super built-up  Area,1102,2,48,Kondhwa Budruk,2
5394,Super built-up  Area,1357,2,65,Kondhwa Budruk,3
5395,Super built-up  Area,1285,2,60,Kondhwa Budruk,2
5396,Super built-up  Area,1370,2,170,Kondhwa Budruk,2
5397,Built-up  Area,2220,4,65,Kondhwa Budruk,3
5398,Built-up  Area,940,2,56.8,Kondhwa Budruk,2
5399,Super built-up  Area,1270,3,45,Kondhwa Budruk,3
5400,Super built-up  Area,1200,2,45,Kondhwa Budruk,2
5401,Super built-up  Area,3185,2,175,Kondhwa Budruk,4
5402,Super built-up  Area,1550,2,160,Kondhwa Budruk,2
5403,Built-up  Area,2400,5,120,Kondhwa Budruk,5
5404,Plot  Area,1200,2,70,Kondhwa Budruk,2
5405,Super built-up  Area,3480,4,284,Kondhwa Budruk,3
5406,Super built-up  Area,2342,3,115,Kondhwa Budruk,4
5407,Plot  Area,1150,3,110,Kondhwa Budruk,4
5408,Built-up  Area,2500,3,200,Kondhwa Budruk,5
5409,Built-up  Area,1730,3,100,Kondhwa Budruk,3
5410,Super built-up  Area,1880,3,94.36,Kondhwa Budruk,3
5411,Super built-up  Area,1530,2,74.4,Kondhwa Budruk,3
5412,Super built-up  Area,1464,2,56,Kondhwa Budruk,2
5413,Super built-up  Area,1200,2,62,Kondhwa Budruk,2
5414,Super built-up  Area,900,2,30,Kondhwa Budruk,2
5415,Super built-up  Area,950,2,40,Kondhwa Budruk,2
5416,Super built-up  Area,1216,2,69.06,Kondhwa Budruk,2
5417,Plot  Area,1200,3,128,Kondhwa Budruk,3
5418,Carpet  Area,1548.3,4,129,Kondhwa Budruk,4
5419,Super built-up  Area,1140,2,46,Kondhwa Budruk,2
5420,Super built-up  Area,1243,2,46,Kondhwa Budruk,2
5421,Built-up  Area,1125,2,29.25,Kondhwa Budruk,2
5422,Super built-up  Area,1185,2,58,Kondhwa Budruk,2
5423,Super built-up  Area,2100,6,92,Kondhwa Budruk,6
5424,Plot  Area,1200,2,46.13,Kondhwa Budruk,2
5425,Built-up  Area,1500,3,75,Kondhwa Budruk,3
5426,Built-up  Area,550,1,27,Kondhwa Budruk,2
5427,Super built-up  Area,2400,3,140,Kondhwa Budruk,4
5428,Super built-up  Area,1520,3,111,Kondhwa Budruk,3
5429,Super built-up  Area,1107.83,2,41.51,Kondhwa Budruk,2
5430,Carpet  Area,3150,5,145,Kondhwa Budruk,8
5431,Super built-up  Area,1333,2,77.27,Kondhwa Budruk,2
5432,Super built-up  Area,1229,2,70,Kondhwa Budruk,2
5433,Super built-up  Area,1200,2,52,Kondhwa Budruk,2
5434,Super built-up  Area,1050,2,55.5,Kondhwa Budruk,2
5435,Super built-up  Area,1920,3,130,Kondhwa Budruk,3
5436,Super built-up  Area,1350,3,68,Kondhwa Budruk,3
5437,Super built-up  Area,1052,2,60,Kondhwa Budruk,3
5438,Built-up  Area,1620,3,90,Kondhwa Budruk,3
5439,Super built-up  Area,1655,3,131,Kondhwa Budruk,3
5440,Built-up  Area,1333,2,104,Kondhwa Budruk,2
5441,Built-up  Area,1768,3,95,Kondhwa Budruk,3
5442,Super built-up  Area,985,2,49.97,Kondhwa Budruk,2
5443,Plot  Area,2000,2,95,Kondhwa Budruk,3
5444,Super built-up  Area,2400,4,145,Kondhwa Budruk,4
5445,Plot  Area,360,2,40,Kondhwa Budruk,2
5446,Super built-up  Area,1458,3,78.45,Kondhwa Budruk,3
5447,Super built-up  Area,1145,2,75,Kondhwa Budruk,2
5448,Super built-up  Area,1704,3,120,Kondhwa Budruk,3
5449,Plot  Area,3760,2,280,Kondhwa Budruk,2
5450,Super built-up  Area,1719.3,2,88,Kondhwa Budruk,3
5451,Super built-up  Area,1343,2,75,Kondhwa Budruk,2
5452,Plot  Area,1200,2,66,Kondhwa Budruk,3
5453,Super built-up  Area,1076,2,78,Kondhwa Budruk,2
5454,Super built-up  Area,1200,2,45.6,Kondhwa Budruk,2
5455,Super built-up  Area,1780,3,100,Kondhwa Budruk,3
5456,Plot  Area,1800,5,70,Kondhwa Budruk,5
5457,Built-up  Area,1300,2,80,Kondhwa Budruk,3
5458,Plot  Area,1092,3,95,Kondhwa Budruk,3
5459,Super built-up  Area,1185,2,42.67,Kondhwa Budruk,2
5460,Super built-up  Area,2273,3,145,Kondhwa Budruk,3
5461,Built-up  Area,1300,2,56,Kondhwa Budruk,2
5462,Super built-up  Area,1361,2,79,Kondhwa Budruk,2
5463,Super built-up  Area,1260,2,80,Kondhwa Budruk,3
5464,Super built-up  Area,1050,2,35,Kondhwa Budruk,2
5465,Built-up  Area,2800,4,252,Kondhwa Budruk,4
5466,Super built-up  Area,900,2,27,Kondhwa Budruk,2
5467,Super built-up  Area,1150,2,41,Kondhwa Budruk,2
5468,Built-up  Area,1007,2,48,Kondhwa Budruk,2
5469,Super built-up  Area,1691,3,119,Kondhwa Budruk,3
5470,Super built-up  Area,1107,2,57,Kondhwa Budruk,2
5471,Super built-up  Area,1129,2,69,Kondhwa Budruk,2
5472,Super built-up  Area,1108,2,60,Kondhwa Budruk,3
5473,Built-up  Area,2700,3,200,Kondhwa Budruk,3
5474,Super built-up  Area,1105,2,35.4,Kondhwa Budruk,2
5475,Super built-up  Area,1100,2,90,Kondhwa Budruk,2
5476,Super built-up  Area,865,2,33,Kondhwa Budruk,2
5477,Super built-up  Area,1590,2,102,Kondhwa Budruk,2
5478,Super built-up  Area,1630,3,110,Kondhwa Budruk,3
5479,Carpet  Area,1600,3,77,Kondhwa Budruk,3
5480,Super built-up  Area,705,1,34.545,Kondhwa Budruk,1
5481,Built-up  Area,1081,2,52,Kondhwa Budruk,2
5482,Super built-up  Area,1160,2,44.08,Kondhwa Budruk,2
5483,Super built-up  Area,1541,3,69.61,Kondhwa Budruk,3
5484,Super built-up  Area,1612,3,98.38,Kondhwa Budruk,3
5485,Built-up  Area,1140,2,33.06,Kondhwa Budruk,2
5486,Built-up  Area,1200,2,34.65,Kondhwa Budruk,2
5487,Carpet  Area,1280,3,42,Kondhwa Budruk,3
5488,Super built-up  Area,1910,3,131,Kondhwa Budruk,3
5489,Plot  Area,1200,8,140,Kondhwa Budruk,8
5490,Super built-up  Area,2200,3,80,Kondhwa Budruk,4
5491,Super built-up  Area,970,2,33,Kondhwa Khurd,2
5492,Super built-up  Area,1563.05,3,105,Kondhwa Khurd,3
5493,Built-up  Area,3500,5,150,Kondhwa Khurd,5
5494,Super built-up  Area,2135,3,215,Kondhwa Khurd,3
5495,Built-up  Area,1194,2,69,Kondhwa Khurd,2
5496,Built-up  Area,1200,2,85,Kondhwa Khurd,1
5497,Carpet  Area,1445,3,95,Kondhwa Khurd,3
5498,Built-up  Area,1050,2,71,Kondhwa Khurd,2
5499,Built-up  Area,1157,2,84,Kondhwa Khurd,2
5500,Super built-up  Area,1174,2,69,Kondhwa Khurd,2
5501,Built-up  Area,1400,2,40.43,Kondhwa Khurd,3
5502,Super built-up  Area,1561,3,95,Kondhwa Khurd,3
5503,Super built-up  Area,1945,3,97.42,Kondhwa Khurd,3
5504,Super built-up  Area,1535,3,86,Kondhwa Khurd,3
5505,Super built-up  Area,1700,3,110,Kondhwa Khurd,3
5506,Super built-up  Area,1250,3,39.5,Kondhwa Khurd,3
5507,Super built-up  Area,1537,3,120,Kondhwa Khurd,3
5508,Plot  Area,3817,2,124,Kondhwa Khurd,2
5509,Built-up  Area,2000,3,100,Kondhwa Khurd,3
5510,Super built-up  Area,686,1,62.5,Kondhwa Khurd,1
5511,Super built-up  Area,1546,3,99,Kondhwa Khurd,3
5512,Super built-up  Area,1105,2,51,Kondhwa Khurd,2
5513,Super built-up  Area,936,2,42,Kondhwa Khurd,2
5514,Super built-up  Area,1646,3,79.5,Kondhwa Khurd,3
5515,Super built-up  Area,1428,2,66,Kondhwa Khurd,3
5516,Built-up  Area,4000,4,170,Kondhwa Khurd,4
5517,Super built-up  Area,1655,3,115,Kondhwa Khurd,3
5518,Built-up  Area,1850,3,170,Kondhwa Khurd,3
5519,Super built-up  Area,1535,3,55,Kondhwa Khurd,3
5520,Plot  Area,1600,7,104,Kondhwa Khurd,7
5521,Plot  Area,1080,4,75,Kondhwa Khurd,4
5522,Super built-up  Area,1370,2,54.79,Kondhwa Khurd,3
5523,Super built-up  Area,1192.5,2,51.22,Kondhwa Khurd,2
5524,Super built-up  Area,1100,2,55,Kondhwa Khurd,2
5525,Built-up  Area,920,2,65,Kondhwa Khurd,2
5526,Super built-up  Area,685,1,40,Kondhwa Khurd,1
5527,Super built-up  Area,970,2,40,Kondhwa Khurd,2
5528,Built-up  Area,1666,3,95,Kondhwa Khurd,3
5529,Super built-up  Area,1530,3,51.77,Kondhwa Khurd,3
5530,Super built-up  Area,1400,2,40.43,Kondhwa Khurd,3
5531,Built-up  Area,1350,3,39.97,Kondhwa Khurd,3
5532,Super built-up  Area,520,1,14.04,Kondhwa Khurd,1
5533,Super built-up  Area,1200,2,55,Kondhwa Khurd,3
5534,Plot  Area,1200,3,61.96,Kondhwa Khurd,3
5535,Super built-up  Area,975,2,24.86,Kondhwa Khurd,2
5536,Super built-up  Area,3860,3,402,Kondhwa Khurd,3
5537,Plot  Area,1200,2,70,Kondhwa Khurd,2
5538,Super built-up  Area,1252,2,71,Kondhwa Khurd,3
5539,Super built-up  Area,1710,3,100,Kondhwa Khurd,3
5540,Built-up  Area,418,1,12,Kondhwa Khurd,1
5541,Built-up  Area,1450,3,42,Kondhwa Khurd,3
5542,Super built-up  Area,1146,2,38,Kondhwa Khurd,2
5543,Plot  Area,1376,4,156,Kondhwa Khurd,4
5544,Super built-up  Area,2493,3,115,Kondhwa Khurd,3
5545,Built-up  Area,1400,3,35,Kondhwa Khurd,3
5546,Super built-up  Area,1152,2,34.56,Kondhwa Khurd,2
5547,Super built-up  Area,1755,3,122,Kondhwa Khurd,3
5548,Plot  Area,1200,3,57.15,Kondhwa Khurd,3
5549,Super built-up  Area,1565,2,57.91,Kondhwa Khurd,3
5550,Super built-up  Area,995,2,49.8,Kondhwa Khurd,2
5551,Super built-up  Area,1020,2,40.89,Kondhwa Khurd,2
5552,Super built-up  Area,1420,2,46,Kondhwa Khurd,3
5553,Super built-up  Area,1510,3,47.57,Kondhwa Khurd,3
5554,Super built-up  Area,1118,2,42,Kondhwa Khurd,2
5555,Super built-up  Area,900,2,45,Kondhwa Khurd,2
5556,Plot  Area,2400,2,135,Kondhwa Khurd,2
5557,Built-up  Area,1100,3,110,Kondhwa Khurd,3
5558,Plot  Area,600,2,39,Kondhwa Khurd,2
5559,Super built-up  Area,1200,2,53.5,Kondhwa Khurd,2
5560,Super built-up  Area,1390,2,70.21,Kondhwa Khurd,2
5561,Super built-up  Area,1200,2,76,Kondhwa Khurd,3
5562,Super built-up  Area,1400,2,48,Kondhwa Khurd,3
5563,Super built-up  Area,2830,5,190,Kondhwa Khurd,4
5564,Super built-up  Area,600,1,18,Kondhwa Khurd,1
5565,Built-up  Area,1790,3,97,Kondhwa Khurd,3
5566,Built-up  Area,850,1,60,Kondhwa Khurd,1
5567,Super built-up  Area,1125,2,47.65,Kondhwa Khurd,2
5568,Super built-up  Area,1020,2,32,Kondhwa Khurd,2
5569,Super built-up  Area,960,2,48,Kondhwa Khurd,2
5570,Super built-up  Area,1150,2,69.44,Kondhwa Khurd,2
5571,Super built-up  Area,1063,2,61.17,Kondhwa Khurd,2
5572,Super built-up  Area,1495,3,55,Kondhwa Khurd,3
5573,Super built-up  Area,1495,2,60.55,Kondhwa Khurd,3
5574,Plot  Area,1600,5,140,Kondhwa Khurd,5
5575,Plot  Area,1200,4,130,Kondhwa Khurd,4
5576,Super built-up  Area,535,1,35,Kondhwa Khurd,1
5577,Super built-up  Area,1365,3,52.81,Kondhwa Khurd,3
5578,Super built-up  Area,1105,2,80,Kondhwa Khurd,2
5579,Built-up  Area,1320,2,90,Kondhwa Khurd,2
5580,Built-up  Area,1342,2,75,Kondhwa Khurd,3
5581,Plot  Area,950,5,55,Kondhwa Khurd,5
5582,Built-up  Area,900,1,52.3,Kondhwa Khurd,1
5583,Super built-up  Area,1009,2,65,Kondhwa Khurd,2
5584,Super built-up  Area,5425,13,275,Kondhwa Khurd,13
5585,Super built-up  Area,2050,3,150,Kondhwa Khurd,3
5586,Plot  Area,4201,4,435,Kondhwa Khurd,4
5587,Super built-up  Area,691,1,31.1,Kondhwa Khurd,1
5588,Built-up  Area,1160,2,33.51,Kondhwa Khurd,2
5589,Super built-up  Area,1090,2,38.37,Kondhwa Khurd,2
5590,Super built-up  Area,1360,2,110,Kondhwa Khurd,2
5591,Super built-up  Area,650,1,50,Kondhwa Khurd,1
5592,Plot  Area,1050,6,74,Kondhwa Khurd,4
5593,Super built-up  Area,747,1,34.355,Kondhwa Khurd,1
5594,Super built-up  Area,1720,3,106,Kondhwa Khurd,3
5595,Super built-up  Area,1010,2,41,Kondhwa Khurd,2
5596,Super built-up  Area,1126,2,36,Kondhwa Khurd,2
5597,Super built-up  Area,1401,3,69,Kondhwa Khurd,3
5598,Super built-up  Area,1100,2,55,Kondhwa Khurd,2
5599,Built-up  Area,3800,6,175,Kondhwa Khurd,6
5600,Super built-up  Area,1333,2,78.56,Kondhwa Khurd,2
5601,Built-up  Area,1075,2,57,Kondhwa Khurd,3
5602,Plot  Area,1240,4,110,Kondhwa Khurd,4
5603,Super built-up  Area,1245,3,66,Kondhwa Khurd,3
5604,Super built-up  Area,1100,2,58.5,Kondhwa Khurd,2
5605,Super built-up  Area,1063,2,42.52,Kondhwa Khurd,2
5606,Super built-up  Area,1190,2,48,Kondhwa Khurd,2
5607,Super built-up  Area,1194,2,46,Kondhwa Khurd,2
5608,Super built-up  Area,2640,2,170,Kondhwa Khurd,2
5609,Built-up  Area,1370,2,88,Kondhwa Khurd,2
5610,Super built-up  Area,985,2,25.12,Kondhwa Khurd,2
5611,Super built-up  Area,900,2,35,Kondhwa Khurd,2
5612,Super built-up  Area,1495,2,52.33,Kondhwa Khurd,3
5613,Super built-up  Area,1200,2,50,Kondhwa Khurd,2
5614,Built-up  Area,1650,1,130,Kondhwa Khurd,2
5615,Super built-up  Area,1810,3,112,Kondhwa Khurd,3
5616,Super built-up  Area,1459,2,94.82,Koregaon Park,2
5617,Super built-up  Area,1000,2,60,Koregaon Park,2
5618,Built-up  Area,1060,2,60,Koregaon Park,2
5619,Super built-up  Area,1173,2,58,Koregaon Park,2
5620,Super built-up  Area,1150,2,69,Koregaon Park,2
5621,Super built-up  Area,1000,2,25,Koregaon Park,2
5622,Super built-up  Area,711,1,36,Koregaon Park,1
5623,Super built-up  Area,1025,2,27.68,Koregaon Park,2
5624,Built-up  Area,3800,4,239,Koregaon Park,4
5625,Super built-up  Area,1485,2,67,Koregaon Park,3
5626,Super built-up  Area,1008,2,45,Koregaon Park,2
5627,Super built-up  Area,1300,2,58.5,Koregaon Park,3
5628,Built-up  Area,1020,2,35,Koregaon Park,2
5629,Built-up  Area,865,2,42,Koregaon Park,2
5630,Super built-up  Area,1135,2,68,Koregaon Park,2
5631,Super built-up  Area,1495,2,90,Koregaon Park,2
5632,Carpet  Area,1650,3,175,Koregaon Park,3
5633,Built-up  Area,1510,2,75,Koregaon Park,3
5634,Super built-up  Area,1050,2,50,Koregaon Park,2
5635,Super built-up  Area,1424,2,90,Koregaon Park,2
5636,Super built-up  Area,1375,2,85,Koregaon Park,3
5637,Super built-up  Area,1470,2,110,Koregaon Park,3
5638,Super built-up  Area,4395,4,242,Koregaon Park,4
5639,Super built-up  Area,1160,2,40.59,Koregaon Park,2
5640,Super built-up  Area,1870,3,90,Koregaon Park,3
5641,Built-up  Area,1115,2,33.45,Koregaon Park,2
5642,Built-up  Area,1025,2,37,Koregaon Park,3
5643,Super built-up  Area,1243,2,46,Koregaon Park,2
5644,Super built-up  Area,1225,2,47,Koregaon Park,2
5645,Super built-up  Area,1862,3,119,Koregaon Park,3
5646,Super built-up  Area,1200,2,62,Koregaon Park,2
5647,Super built-up  Area,1420,2,99.39,Koregaon Park,2
5648,Super built-up  Area,1300,2,61,Koregaon Park,2
5649,Built-up  Area,2700,3,68,Koregaon Park,4
